Index, Register(Num), Data Label, Unit, Scale, Access 
1,30463(1), Columns of Breakers (DFW18_120_RPP_A1-3), , x1, RO
2,30464(1), Number of Breakers (DFW18_120_RPP_A1-3), , x1, RO
3,30465(1), Panel Main Voltage X-Y (DFW18_120_RPP_A1-3), VAC, x1, RO
4,30466(1), Panel Main Voltage Y-Z (DFW18_120_RPP_A1-3), VAC, x1, RO
5,30467(1), Panel Main Voltage Z-X (DFW18_120_RPP_A1-3), VAC, x1, RO
6,30468(1), Panel Main Voltage X-N (DFW18_120_RPP_A1-3), VAC, x1, RO
7,30469(1), Panel Main Voltage Y-N (DFW18_120_RPP_A1-3), VAC, x1, RO
8,30470(1), Panel Main Voltage Z-N (DFW18_120_RPP_A1-3), VAC, x1, RO
9,30471(1), Panel Main Current Ix (DFW18_120_RPP_A1-3), A AC, x1, RO
10,30472(1), Panel Main Current Iy (DFW18_120_RPP_A1-3), A AC, x1, RO
11,30473(1), Panel Main Current Iz (DFW18_120_RPP_A1-3), A AC, x1, RO
12,30474(1), Panel Main Neutral Current (DFW18_120_RPP_A1-3), A AC, x1, RO
13,30475(1), Panel Main Ground Current (DFW18_120_RPP_A1-3), A AC, x10, RO
14,30476(1), Panel Main Output Power (kVA) (DFW18_120_RPP_A1-3), kVA, x1, RO
15,30477(1), Panel Main Output Power (kW) (DFW18_120_RPP_A1-3), kW, x1, RO
16,30478(2), Panel Main Output kW-Hrs (DFW18_120_RPP_A1-3), kWH, x10, RO
17,30480(1), Panel Main Output Power Factor (DFW18_120_RPP_A1-3), , x100, RO
18,30481(1), Panel Main Output Percent Load (DFW18_120_RPP_A1-3), %, x1, RO
19,30482(1), Panel Main Voltage Vx THD (DFW18_120_RPP_A1-3), % THD, x10, RO
20,30483(1), Panel Main Voltage Vy THD (DFW18_120_RPP_A1-3), % THD, x10, RO
21,30484(1), Panel Main Voltage Vz THD (DFW18_120_RPP_A1-3), % THD, x10, RO
22,30485(1), Panel Main Current Ix THD (DFW18_120_RPP_A1-3), % THD, x10, RO
23,30486(1), Panel Main Current Iy THD (DFW18_120_RPP_A1-3), % THD, x10, RO
24,30487(1), Panel Main Current Iz THD (DFW18_120_RPP_A1-3), % THD, x10, RO
25,30488(1), Panel Main Current Ix Crest Factor (DFW18_120_RPP_A1-3), , x10, RO
